arrow_number:0 ; coor:(274, 439) ; head_tail:head
arrow_number:0 ; coor:(276, 345) ; head_tail:tail
arrow_number:1 ; coor:(274, 578) ; head_tail:head
arrow_number:1 ; coor:(275, 491) ; head_tail:tail
arrow_number:2 ; coor:(277, 56) ; head_tail:tail
arrow_number:2 ; coor:(277, 148) ; head_tail:head
arrow_number:3 ; coor:(277, 201) ; head_tail:None
arrow_number:3 ; coor:(277, 305) ; head_tail:None
arrow_number:4 ; coor:(617, 137) ; head_tail:head
arrow_number:4 ; coor:(362, 137) ; head_tail:tail
